Asset Class,Issuer Name,Ticker,Cpn,Maturity,Conversion Ratio,CV Conversion Price,CV Stock Volatility
Corporates,HCI Group Inc,HCI,4.25,01/03/2037,16.5893,60.27981892,103.6511165
Corporates,Element Fleet Management Corp,EFNCN,4.25,30/06/2024,84.93355,11.77391031,39.58189097
Corporates,Herbalife Ltd,HLF,4.25,15/06/2028,58.8998,16.97798634,58.45525703
Corporates,Antero Resources Corp,AR,4.25,01/09/2026,230.2026,4.34399959,74.61780759
Corporates,C&D International Investment Group Ltd,CDINT,4.25,#N/A Field Not Applicable,134770.8895,7.42,40.66072445
Corporates,Mithra Pharmaceuticals SA,MITRAB,4.25,17/12/2025,4303.481517,23.237,128.9593151
Corporates,CenterPoint Energy Inc,CNP,4.25,15/08/2026,27.1278,36.86255428,18.1253913
Corporates,Stem Inc,STEM,4.25,01/04/2030,140.3066,7.127248469,95.07747616
Corporates,PG&E Corp,PCG,4.25,01/12/2027,43.1416,23.17948338,24.47160834
Corporates,Hypo-Wohnbaubank AG,HYPOBK,4.212,19/12/2025,10,10,40
Corporates,Premium Brands Holdings Corp,PBHCN,4.2,30/09/2027,7.0227,142.395375,21.7367862
Corporates,Immo-Bank AG,IMMOBK,4.2,28/12/2023,2,50,#N/A N/A
Corporates,Duke Energy Corp,DUK,4.125,15/04/2026,8.4131,118.8622505,17.0792215
Corporates,Livent Corp,LTHM,4.125,15/07/2025,114.4885,8.734501719,65.97200984
Corporates,s Wohnbaubank AG,SWOHN,4.122,27/03/2024,10,10,#N/A N/A
Corporates,FirstEnergy Corp,FE,4,01/05/2026,21.362,46.81209625,17.39108555
Corporates,Semtech Corp,SMTC,4,01/11/2028,49.081,20.374483,65.06749296
Corporates,8x8 Inc,EGHT,4,01/02/2028,139.8064,7.152748372,73.56890007
Corporates,Liberty Interactive LLC,LINTA,4,15/11/2029,1,906.243033,18.86161
Corporates,Liberty Interactive LLC,LINTA,4,15/11/2029,1,906.243033,18.86161
Corporates,Mirum Pharmaceuticals Inc,MIRM,4,01/05/2029,31.5075,31.73847497,57.20984477
Corporates,Encore Capital Group Inc,ECPG,4,15/03/2029,15.1763,65.89221352,32.5174898
Preferreds,MidSouth Bancorp Inc,MSL,4,#N/A Field Not Applicable,5.55556,17.9999856,40
Preferreds,Pressure BioSciences Inc,PBIO,4,#N/A Field Not Applicable,1000,0.4,156.6676487
Preferreds,Pansar BHD,PNSRMK,4,28/03/2026,1,0.53,#N/A N/A
Preferreds,Eastman Kodak Co,KODK,4,27/05/2026,9.5238,10.5000105,62.77111837
Preferreds,Patriot Energy Corp/Houston TX,PGYC,4,#N/A Field Not Applicable,0.0881,5.675368899,40
Preferreds,Interep National Radio Sales Inc,IREP,4,#N/A Field Not Applicable,25,4,40
Preferreds,XRS Corp,XRSC,4,#N/A Field Not Applicable,1,2.54,40
Preferreds,XRS Corp,XRSC,4,#N/A Field Not Applicable,1,3.94,40
Preferreds,XRS Corp,XRSC,4,#N/A Field Not Applicable,1,2.22,40
Preferreds,Q Holding Co,LEXPQ,4,#N/A Field Not Applicable,14.8148,6.75000675,40
Preferreds,American Rare Earths and Materials Corp,AREM,4,#N/A Field Not Applicable,100,0.17,40
Preferreds,Amcorp Properties Bhd,APROMK,4,#N/A Field Not Applicable,1,0.7,#N/A N/A
Preferreds,Celtic PLC,CCPLN,4,#N/A Field Not Applicable,2.08,0.480769231,16.72316303
Preferreds,XRS Corp,XRSC,4,#N/A Field Not Applicable,1,3.78,40
Corporates,Bank Austria Wohnbaubank AG,BAWOBK,4,19/04/2032,10,10,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,4,15/11/2033,10,100,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,4,17/10/2035,10,100,40
Corporates,Raiffeisen Wohnbaubank AG,RFWOHN,4,06/06/2034,10,10,40
Corporates,Frigate PLC,FRIGAT,4,14/02/2027,10,1000,40
Corporates,Daeho AL Co Ltd,DAEHOA,4,21/04/2025,8.532423,1172.000029,82.2533453
Corporates,CITECH Co Ltd,SAMYHO,4,01/07/2024,6.518904824,1534,88.67486422
Corporates,Oncology Institute Inc/The,TOI,4,09/08/2027,116.726976,8.566999971,119.1442676
Corporates,Dynamic Design Co Ltd,SAWIMC,4,12/08/2024,13.36898396,748,119.1540722
Corporates,Hypo-Wohnbaubank AG,HYPOBK,4,22/12/2033,10,10,40
Corporates,Themis SpA,THEMIS,4,07/10/2026,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Corporates,CITECH Co Ltd,SAMYHO,4,28/08/2025,7.855459544,1273,88.67486422
Corporates,Kukbo Co Ltd,KUKBOC,4,31/05/2024,5.643340858,1772,83.89087955
Corporates,Hypo-Wohnbaubank AG,HYPOBK,4,31/10/2035,10,10,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,4,07/11/2034,10,10,40
Corporates,GS Finance Corp,GS,4,28/09/2026,3.102,322.3726628,36.73035977
Corporates,Hypo-Wohnbaubank AG,HYPOBK,4,27/08/2024,10,10,40
Corporates,3-Banken Wohnbaubank AG,DBWOHN,4,10/03/2026,10,10,40
Corporates,Bank Austria Wohnbaubank AG,BAWOBK,4,28/02/2024,10,10,40
Corporates,Kukbo Co Ltd,KUKBOC,4,11/01/2026,12.39157373,807,83.89087955
Corporates,Hypo-Wohnbaubank AG,HYPOBK,4,15/12/2033,10,10,40
Corporates,Yunnan Provincial Energy Investment Group Co Ltd,YNPOWE,4,18/04/2027,1.736111111,57.6,15.12936339
Corporates,SK REITs Co Ltd,REITSK,4,12/12/2025,2.124947,4705.999726,20.4827122
Corporates,BAWAG PSK Wohnbaubank AG,BWAGWB,4,11/01/2025,0.1,1000,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,4,15/02/2025,14,71.42857143,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,4,15/01/2025,1.4,71.42857143,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,4,25/01/2026,14,7.142857143,40
Corporates,BAWAG PSK Wohnbaubank AG,BWAGWB,4,14/09/2027,0.100000001,999.9999851,#N/A N/A
Corporates,Intersect ENT Inc,XENT,4,09/05/2025,64.35,15.54001554,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,4,30/01/2030,10,10,40
Corporates,Raiffeisen Wohnbaubank AG,RFWOHN,4,29/09/2026,0.1,1000,40
Corporates,Trinity Biotech Investment Ltd,TRIB,4,01/04/2045,45.7112,21.87647666,89.04811778
Corporates,Hypo-Wohnbaubank AG,HYPOBK,4,07/05/2029,10,10,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,4,22/09/2033,10,10,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,4,18/10/2033,100,10,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,4,08/05/2035,10,10,40
Corporates,Medondo Holding AG,AMIGR,4,01/03/2024,200,5,232.5357494
Corporates,DCON Products PCL,DCONTB,4,09/03/2025,2500,0.4,38.11518543
Corporates,BofA Finance LLC,BAC,4,02/07/2026,6.234064,160.4090045,32.69700933
Corporates,3-Banken Wohnbaubank AG,DBWOHN,4,27/06/2025,100,1,40
Corporates,3-Banken Wohnbaubank AG,DBWOHN,4,22/07/2025,100,1,40
Corporates,Raiffeisen Wohnbaubank AG,RFWOHN,4,29/07/2025,0.1,1000,40
Corporates,Bank Austria Wohnbaubank AG,BAWOBK,4,23/09/2025,1.25,80,40
Corporates,Raiffeisen Wohnbaubank AG,RFWOHN,4,18/04/2024,0.1,1000,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,4,12/01/2024,1.399999976,71.42857264,40
Corporates,Bank Austria Wohnbaubank AG,BAWOBK,4,04/01/2024,1.25,80,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,4,25/01/2027,1.399999976,71.42857264,40
Corporates,Raiffeisen Wohnbaubank AG,RFWOHN,4,10/02/2024,0.100000001,999.9999851,40
Corporates,Immo-Bank AG,IMMOBK,4,16/01/2024,2,50,40
Corporates,Bank Austria Wohnbaubank AG,BAWOBK,4,04/01/2024,0.8,125,#N/A N/A
Corporates,Bank Austria Wohnbaubank AG,BAWOBK,4,26/05/2028,0.1,1000,40
Corporates,PetIQ Inc,PETQ,4,01/06/2026,33.7268,29.65001127,50.76098042
Corporates,Atlantica Sustainable Infrastructure Jersey Ltd,AY,4,15/07/2025,29.107,34.35599684,28.01265702
Corporates,Air Canada,ACACN,4,01/07/2025,65.1337,21.12500902,31.4582299
Corporates,Uniti Fiber Holdings Inc,UNIT,4,15/06/2024,101.9818,9.805671208,50.21575281
Corporates,Transocean Inc,RIG,4,15/12/2025,190.4762,5.249999738,54.89110078
Corporates,Varex Imaging Corp,VREX,4,01/06/2025,48.048,20.81252081,36.06704589
Corporates,Cutera Inc,CUTR,4,01/06/2029,17.1378,58.35054674,153.8036748
Corporates,Raiffeisen Wohnbaubank AG,RFWOHN,4,13/04/2034,10,10,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,4,11/04/2034,10,10,40
Corporates,Nanshan Group Co Ltd,NNSHAN,4,30/03/2024,25.83979328,3.87,18.281789
Corporates,Daeho AL Co Ltd,DAEHOA,4,28/04/2026,2.975304969,3361,82.2533453
Corporates,PharmGen Science Inc,SUDOPH,4,11/03/2025,1.054852321,9479.999997,37.99375477
Corporates,AMA Group Ltd,AMAAU,4,22/03/2027,257267.8158,0.3887,126.2847541
Corporates,AFH Financial Group Ltd,AFHPPZ,4,30/07/2024,1190.47619,4.200000002,40
Corporates,Flower One Holdings Inc,FONECN,4,31/01/2024,2597.4026,0.385,#N/A N/A
Corporates,Ko Yo Chemical Group Ltd,KOYOEC,4,15/03/2024,9.259259259,0.108,70.2273711
Corporates,Zhi Sheng Group Holdings Ltd,ZHISHE,4,02/02/2024,3886200,0.5,75.92785136
Corporates,niiio finance group AG,NIINGR,4,31/05/2026,0.666666667,1.499999999,117.4871205
Corporates,Ko Yo Chemical Group Ltd,KOYOEC,4,31/01/2024,9.259259259,0.108,70.2273711
Corporates,Woodbois Ltd,WDBOIS,4,30/06/2024,10,8,146.5543484
Corporates,Flower One Holdings Inc,FONECN,4,31/01/2024,2597.402588,0.385000001,#N/A N/A
Corporates,3-Banken Wohnbaubank AG,DBWOHN,4,27/05/2025,100,1,40
Corporates,Bank Austria Wohnbaubank AG,BAWOBK,4,26/05/2028,0.100000001,999.9999851,#N/A N/A
Corporates,3-Banken Wohnbaubank AG,DBWOHN,4,12/05/2026,10,10,40
Corporates,Tubos Reunidos SA,TRGSM,4,18/11/2026,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Corporates,iQIYI Inc,IQ,4,15/12/2026,44.8179,22.31251353,53.66229373
Corporates,Esperion Therapeutics Inc,ESPR,4,15/11/2025,30.2151,33.09603476,130.6925401
Corporates,Sabre GLBL Inc,SABHLD,4,15/04/2025,126.9499,7.87712318,76.15709765
Corporates,Cytokinetics Inc,CYTK,4,15/11/2026,94.7811,10.55062665,140.5181577
Corporates,Veoneer Inc,VNE,4,01/06/2024,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Corporates,Yunnan Provincial Energy Investment Group Co Ltd,YNPOWE,3.99,27/05/2027,1.746724891,57.24999999,15.12936339
Corporates,Bank Austria Wohnbaubank AG,BAWOBK,3.983,10/04/2027,0.100000001,999.9999851,40
Corporates,Bank Austria Wohnbaubank AG,BAWOBK,3.98,11/04/2029,0.1,1000,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.974,04/11/2024,100,10,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.974,04/11/2030,10,10,40
Corporates,s Wohnbaubank AG,SWOHN,3.972,08/01/2029,10,10,40
Corporates,Immo-Bank AG,IMMOBK,3.972,30/01/2026,2,50,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.972,08/07/2027,10,10,40
Corporates,s Wohnbaubank AG,SWOHN,3.972,08/07/2024,10,10,40
Corporates,Bank Austria Wohnbaubank AG,BAWOBK,3.972,10/04/2028,0.100000001,999.9999851,40
Corporates,Bank Austria Wohnbaubank AG,BAWOBK,3.969,09/09/2025,0.100000001,999.9999851,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.968,02/05/2030,10,10,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.966,09/08/2027,10,10,40
Corporates,Bank Austria Wohnbaubank AG,BAWOBK,3.965,16/04/2031,0.1,1000,40
Corporates,Bank Austria Wohnbaubank AG,BAWOBK,3.965,16/04/2030,0.1,1000,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.958,07/12/2027,10,10,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.958,01/08/2024,14,71.42857143,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.956,27/02/2025,10,10,#N/A N/A
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.956,26/11/2026,10,10,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.956,07/02/2024,1.399999976,71.42857264,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.955,02/04/2030,10,10,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.955,01/07/2026,10,10,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.952,12/03/2026,100,10,40
Corporates,Bank Austria Wohnbaubank AG,BAWOBK,3.952,13/04/2026,0.100000001,999.9999851,40
Corporates,CIP Funding Pty Ltd,CIPFAU,3.95,02/03/2028,24024.024,4.162500004,17.66265208
Corporates,Zuora Inc,ZUO,3.95,31/03/2029,50,20,#N/A N/A
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.95,08/03/2027,10,10,#N/A N/A
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.95,11/03/2025,1.4,71.42857143,#N/A N/A
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.95,08/03/2027,10,10,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.95,11/09/2030,10,10,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.95,10/12/2029,10,10,40
Corporates,s Wohnbaubank AG,SWOHN,3.948,30/04/2033,10,10,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.948,30/01/2029,10,10,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.945,16/01/2030,10,10,40
Corporates,Bank Austria Wohnbaubank AG,BAWOBK,3.925,15/12/2026,0.100000001,999.9999851,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.923,21/06/2027,10,10,40
Corporates,Bank Austria Wohnbaubank AG,BAWOBK,3.916,24/09/2024,10,10,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.916,27/03/2028,10,10,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.9,28/03/2035,10,10,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.9,10/08/2034,10,10,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.9,01/04/2026,1.399999976,714.2857264,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.9,12/07/2033,10,100,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.9,06/07/2035,10,10,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.9,01/09/2034,10,100,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.9,28/07/2034,10,10,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.9,20/07/2026,14,7142.857143,40
Corporates,Enovis Corp,ENOV,3.875,15/10/2028,17.1474,58.3178791,28.04925149
Corporates,Southern Co/The,SO,3.875,15/12/2025,11.8818,84.16233231,16.16206991
Corporates,Alliant Energy Corp,LNT,3.875,15/03/2026,15.5461,64.32481458,18.88217407
Corporates,CTO Realty Growth Inc,CTO,3.875,15/04/2025,67.3342,14.85129399,22.69602984
Corporates,NIO Inc,NIO,3.875,15/10/2029,89.9685,11.11500136,70.85588718
Corporates,CSG Systems International Inc,CSGS,3.875,15/09/2028,14.0753,71.04644306,31.20899181
Corporates,CTO Realty Growth Inc,CTO,3.875,15/04/2025,67.3342,14.85129399,22.69602984
Corporates,Air Transport Services Group Inc,ATSG,3.875,15/08/2029,31.2864,31.96276977,39.86570557
Corporates,Bank Austria Wohnbaubank AG,BAWOBK,3.85,20/11/2033,10,10,40
Corporates,Eastern & Oriental Bhd,EASTMK,3.8,15/03/2028,1,0.235,53.36352618
Corporates,Beijing Energy International Holding Co Ltd,GDPOLY,3.8,29/06/2024,25884.33333,0.3,46.73820371
Corporates,Liberty Interactive LLC,LINTA,3.75,15/02/2030,1,933.1201,18.8616
Corporates,Liberty Interactive LLC,LINTA,3.75,15/02/2030,1,933.1201,18.8616
Corporates,MBT Systems GmbH,MBTNSW,3.75,17/05/2029,143822.8103,0.678407686,45.04174035
Corporates,Guess? Inc,GES,3.75,15/04/2028,40.48583,24.69999998,43.27479667
Corporates,Granite Construction Inc,GVA,3.75,15/05/2028,21.6807,46.12397201,31.4416296
Corporates,Infinera Corp,INFN,3.75,01/08/2028,147.1183,6.79725092,58.59657913
Corporates,Ventas Realty LP,VTR,3.75,01/06/2026,18.246,54.80653294,24.12871046
Preferreds,America Capital Corp,ACCN,3.75,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Corporates,s Wohnbaubank AG,SWOHN,3.75,07/02/2029,10,10,40
Corporates,Raiffeisen Wohnbaubank AG,RFWOHN,3.75,17/02/2024,10,10,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.75,06/03/2026,10,10,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.75,15/09/2034,10,100,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.75,07/06/2033,10,100,40
Corporates,Carpevigo Holding AG,CAVIGO,3.75,30/09/2037,0.16667,5.999880002,#N/A N/A
Corporates,IIP Operating Partnership LP,IIPR,3.75,21/02/2024,17.0609,58.61355497,45.7953098
Corporates,NextGen Healthcare Inc,NXGN,3.75,15/11/2027,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Corporates,Plug Power Inc,PLUG,3.75,01/06/2025,198.6196,5.034749843,98.31517737
Corporates,Dye & Durham Ltd,DNDCN,3.75,01/03/2026,13.6565,73.22520412,73.74358197
Corporates,GOL Equity Finance SA,GOLLBZ,3.75,15/07/2024,49.3827,20.25000658,134.3093884
Corporates,EZCORP Inc,EZPW,3.75,15/12/2029,89.0313,11.23200492,33.40196985
Corporates,Infinera Corp,INFN,3.75,01/08/2028,147.1183,6.79725092,58.59657913
Corporates,CBo Territoria,CBOTER,3.75,01/07/2024,1,4.85,10.44467529
Corporates,First Capital SpA,FICIM,3.75,06/12/2026,100,20,#N/A N/A
Corporates,Veeco Instruments Inc,VECO,3.75,01/06/2027,71.5372,13.97874113,51.76769158
Corporates,Farfetch Ltd,FTCHF,3.75,01/05/2027,61.9867,16.13249294,1247.278695
Corporates,Accuray Inc,ARAY,3.75,01/06/2026,170.5611,5.863001587,74.7375835
Corporates,Sacyr SA,SCYRSM,3.75,25/04/2024,42711.3142,2.341300001,#N/A N/A
Corporates,Liberty Media Corp,LMCA,3.75,15/03/2028,35.4563,28.20373248,43.55282227
Corporates,HAT Holdings I LLC / HAT Holdings II LLC,HASI,3.75,15/08/2028,36.8494,27.13748392,50.00139998
Corporates,Immo-Bank AG,IMMOBK,3.7,15/02/2024,2,50,40
Corporates,Raiffeisen Wohnbaubank AG,RFWOHN,3.7,15/04/2024,0.1,1000,40
Corporates,BAWAG PSK Wohnbaubank AG,BWAGWB,3.7,29/11/2033,10,100,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.7,25/01/2026,1.399999976,71.42857264,40
Corporates,Immo-Bank AG,IMMOBK,3.6639,20/05/2024,2,50,#N/A N/A
Corporates,s Wohnbaubank AG,SWOHN,3.65,16/05/2034,10,10,40
Corporates,American Water Capital Corp,AWK,3.625,15/06/2026,5.8213,171.7829351,18.62900795
Corporates,BAWAG PSK Wohnbaubank AG,BWAGWB,3.625,15/01/2024,0.1,1000,#N/A N/A
Corporates,BAWAG PSK Wohnbaubank AG,BWAGWB,3.625,21/02/2026,0.100000001,999.9999851,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.625,04/04/2027,14,71.42857143,40
Corporates,Northern Oil and Gas Inc,NOG,3.625,15/04/2029,26.4564,37.79803753,39.0719631
Corporates,Kadmon Holdings Inc,KDMN,3.625,15/02/2027,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Corporates,Rivian Automotive Inc,RIVN,3.625,15/10/2030,42.929,23.2942766,70.72786353
Corporates,CJ Engineering & Construction Corp,CHEIL,3.62,23/12/2045,0.36364,27499.725,40
Corporates,s Wohnbaubank AG,SWOHN,3.6,30/04/2033,10,10,25
Corporates,s Wohnbaubank AG,SWOHN,3.6,15/02/2022,10,10,#N/A N/A
Corporates,Amos Luzon Development and Energy Group Ltd,LUZNIT,3.6,01/07/2027,0.27778,3.5999712,34.45425647
Corporates,Cytokinetics Inc,CYTK,3.5,01/07/2027,19.5783,51.07695765,74.94325587
Corporates,Wayfair Inc,W,3.5,15/11/2028,21.8341,45.79991848,75.70340799
Corporates,Lagfin SCA,LAGFNC,3.5,08/06/2028,6164.164016,16.2228,19.66879496
Corporates,Fastighets AB Balder,BALDER,3.5,23/02/2028,15554.03472,71.62000214,38.98142118
Preferreds,China Uptown Group Co Ltd,UPTOWN,3.5,#N/A Field Not Applicable,1.052631579,0.38,89.21902619
Preferreds,China Uptown Group Co Ltd,UPTOWN,3.5,#N/A Field Not Applicable,1.052631617,0.379999986,89.21902619
Corporates,Bank Austria Wohnbaubank AG,BAWOBK,3.5,02/01/2026,0.8,125,40
Corporates,Kellwood Co LLC,KWD,3.5,15/06/2034,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Corporates,PharmGen Science Inc,SUDOPH,3.5,11/06/2026,0.751879699,13300,37.99375477
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.5,25/01/2024,1.4,71.42857143,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.5,03/05/2033,10,10,40
Corporates,Bank Austria Wohnbaubank AG,BAWOBK,3.5,28/02/2026,10,10,40
Corporates,BAWAG PSK Wohnbaubank AG,BWAGWB,3.5,26/07/2025,10,10,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.5,25/01/2026,1.4,71.42857143,40
Corporates,Intco Medical Technology Co Ltd,SDICMP,3.5,16/08/2025,25.839793,3.870000042,31.24296997
Corporates,Vale Canada Ltd,VALEBZ,3.5,14/03/2052,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Corporates,Bank Austria Wohnbaubank AG,BAWOBK,3.5,07/10/2025,10,10,40
Corporates,Liaoning Fangda Group Industrial Co Ltd,LNFDGR,3.5,05/11/2024,7.692307692,13,17.37211793
Corporates,s Wohnbaubank AG,SWOHN,3.5,07/01/2024,10,10,40
Corporates,s Wohnbaubank AG,SWOHN,3.5,08/07/2024,10,10,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.5,07/02/2027,1.399999976,71.42857264,40
Corporates,Raiffeisen Wohnbaubank AG,RFWOHN,3.5,18/05/2024,10,10,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.5,25/01/2027,1.399999976,71.42857264,40
Corporates,Bank Austria Wohnbaubank AG,BAWOBK,3.5,28/06/2024,1.25,80,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.5,28/03/2024,14,71.42857143,40
Corporates,Bank Austria Wohnbaubank AG,BAWOBK,3.5,10/06/2025,0.8,125,40
Corporates,Bank Austria Wohnbaubank AG,BAWOBK,3.5,02/01/2026,0.8,125,40
Corporates,BofA Finance LLC,BAC,3.5,09/07/2026,2.645643,377.9799467,36.77204537
Corporates,Intercept Pharmaceuticals Inc,ICPT,3.5,15/02/2026,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Corporates,Sphere Entertainment Co,SPHR,3.5,01/12/2028,28.1591,35.51249862,59.28857498
Corporates,Evolent Health Inc,EVH,3.5,01/12/2029,26.3125,38.00475059,36.72538769
Corporates,Simon Global Development BV,SPG,3.5,14/11/2026,3675.227497,27.2092,24.66621823
Corporates,Arrival SA,ARVL,3.5,01/12/2026,1.6842,593.753711,144.3262995
Corporates,Edgio Inc,EGIO,3.5,01/08/2025,117.2367,8.529752202,199.0650808
Corporates,ATI Inc,ATI,3.5,15/06/2025,64.5745,15.48598905,61.87186622
Corporates,Medicines Co/The,MDCO,3.5,15/01/2024,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Corporates,MBT Systems GmbH,MBTNSW,3.5,08/07/2027,192307.6923,0.57048836,47.44989509
Corporates,APQ Global Ltd,APQLN,3.5,30/09/2024,4745.7241,1.053580001,51.57710571
Corporates,Bank Austria Wohnbaubank AG,BAWOBK,3.5,10/06/2025,0.8,125,40
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.5,01/06/2025,14,71.42857143,40
Corporates,KH FEELUX Co Ltd,FEELUX,3.5,28/05/2024,15.174507,658.9999926,12.69183891
Corporates,Der Future Science & Technology Holding Group Co Ltd,DERFUS,3.5,03/04/2025,16.666667,5.99999988,33.47175302
Corporates,KH FEELUX Co Ltd,FEELUX,3.5,18/08/2024,7.39645,1351.999946,12.69183891
Corporates,KH FEELUX Co Ltd,FEELUX,3.5,05/04/2024,20,500,12.69183891
Corporates,s Wohnbaubank AG,SWOHN,3.5,06/06/2029,10,10,40
Corporates,Veeco Instruments Inc,VECO,3.5,15/01/2025,41.6667,23.9999808,39.63936459
Corporates,Genfit SA,GNFTFP,3.5,16/10/2025,5.5,5.381818182,42.51733941
Corporates,Apellis Pharmaceuticals Inc,APLS,3.5,15/09/2026,25.3405,39.46252047,52.47946379
Corporates,InterDigital Inc,IDCC,3.5,01/06/2027,12.9041,77.49474973,32.35660127
Corporates,Seagate HDD Cayman,STX,3.5,01/06/2028,12.1253,82.47218626,33.33183556
Corporates,DEXUS Finance Pty Ltd,DXSAU,3.5,24/11/2027,10914.4092,9.1622,20.50774789
Corporates,Raiffeisen Wohnbaubank AG,RFWOHN,3.494,17/02/2024,0.100000001,999.9999851,40
Corporates,Svenska Handelsbanken AB,SHBASS,3.446,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,0
Corporates,DISH Network Corp,DISH,3.375,15/08/2026,15.3429,65.17672669,103.6710128
Corporates,CMS Energy Corp,CMS,3.375,01/05/2028,13.5194,73.96777964,15.78422698
Corporates,Flexion Therapeutics Inc,FLXN,3.375,01/05/2024,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Corporates,Lenovo Group Ltd,LENOVO,3.375,24/01/2024,1266.962843,6.190000167,47.26229164
Corporates,Credit Agricole CIB Financial Solutions SA,ACAFP,3.37,01/03/2032,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Corporates,CenterPoint Energy Inc,CNP,3.36916,15/09/2029,1,58.25,26.71014
Corporates,s Wohnbaubank AG,SWOHN,3.3,21/03/2034,10,10,40
Corporates,Kerry Logistics Network Ltd,KERLOG,3.3,#N/A Field Not Applicable,106382.9787,18.8,52.04765052
Corporates,Hypo-Wohnbaubank AG,HYPOBK,3.3,04/04/2027,14,71.42857143,40
Corporates,CJ Freshway Corp,CJFOOD,3.3,09/05/2048,0.22904,43660.49598,28.68878765
Corporates,Bank Austria Wohnbaubank AG,BAWOBK,3.275,17/04/2033,10,10,40
Corporates,Straits Trading Co Ltd/Singapore,STRTR,3.25,13/02/2028,67738.63636,22,35.6794211
Corporates,Wayfair Inc,W,3.25,15/09/2027,15.7597,63.45298451,71.79850633
