Asset Class,Issuer Name,Ticker,Cpn,Maturity,Currency,Amt Out,Conversion Ratio,TRACE Price,Yld to Mty (Mid),YAS Bnch Px,CV Conversion Price
Corporates,Redwood Trust Inc,RWT,7.75,15/06/2027,USD,215000000,95.6823,97,10.34268667,102.2304688,10.45125378
Corporates,United Microelectronics Corp,UNIMIC,0,07/07/2026,USD,212900000,5227.05133,94,-3.813377245,100.9335938,533.8
Corporates,Blue Sail Medical Co Ltd,BSMEDI,1.5,28/05/2026,CNY,212842080.5,5.605381,#N/A Field Not Applicable,4.198174741,100.1409,17.84000053
Corporates,Eventbrite Inc,EB,0.75,15/09/2026,USD,212750000,35.8616,84.81500244,6.945409469,100.9335938,27.88498003
Corporates,View Inc,VIEW,6,01/10/2027,USD,212307000,12.4611,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,80.24973718
Preferreds,DoubleDragon Corp,DDPM,6.4778,#N/A Field Not Applicable,PHP,211882000,1,#N/A Field Not Applicable,6.964468402,99.431,100
Corporates,Sanrio Co Ltd,SANRIO,0,14/12/2028,JPY,211863000,1297.016861,#N/A Field Not Applicable,-1.245696227,100.7765,7710
Corporates,Accolade Inc,ACCD,0.5,01/04/2026,USD,211041000,19.8088,89.125,7.152506771,100.9335938,50.48261379
Corporates,DaShenLin Pharmaceutical Group Co Ltd,DSLPHM,1.5,22/10/2026,CNY,210147549.7,2.122692,#N/A Field Not Applicable,1.837273072,100.1409,47.10999052
Corporates,PennyMac Corp,PMT,5.5,01/11/2024,USD,210000000,40.101,98.5,7.348756278,101.0078125,24.93703399
Corporates,Cerence Inc,CRNC,1.5,01/07/2028,USD,210000000,24.5586,79.77310181,5.903484368,102.2304688,40.71893349
Preferreds,SP Setia Bhd Group,SPSBMK,5.43,#N/A Field Not Applicable,MYR,209112715.5,0.47761194,#N/A Field Not Applicable,5.48201273,#N/A N/A,0.795625
Corporates,PDD Holdings Inc,PDD,0,01/10/2024,USD,208395000,23.468,347.7114868,-110.3032618,101.0078125,42.61121527
Corporates,Tokyu Corp,TOKYU,0,29/09/2028,JPY,208067400,4706.98988,#N/A Field Not Applicable,-0.478048215,100.7765,2124.5
Corporates,Tokyu Corp,TOKYU,0,30/09/2030,JPY,208067400,4917.629702,#N/A Field Not Applicable,-0.47946406,98.1255,2033.5
Corporates,Veradigm Inc,MDRX,0.875,01/01/2027,USD,207911000,75.0962,99,1.214208567,102.2304688,13.31625302
Corporates,Acorda Therapeutics Inc,ACOR,6,01/12/2024,USD,207001000,2.38095,#N/A Field Not Applicable,80.01183247,101.0078125,420.00042
Corporates,Maxeon Solar Technologies Ltd,MAXN,7.5,17/08/2027,USD,207000000,43.2301,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,23.13203069
Corporates,Sailun Group Co Ltd,SAILUN,0.5,02/11/2028,CNY,205500780.9,11.248594,#N/A Field Not Applicable,-2.980699134,100.5429,8.889999941
Preferreds,New York Community Capital Trust V,NYCB,6,01/11/2051,USD,205274050,2.4953,#N/A Field Not Applicable,7.998298646,107.1953125,20.03767082
Corporates,Kehua Data Co Ltd,KEHUAD,0.3,23/08/2029,CNY,204995222.5,2.884338044,#N/A Field Not Applicable,0.240497725,100.5429,34.67000001
Corporates,Shenzhen Suntak Circuit Technology Co Ltd,SZSCTE,1.5,07/09/2026,CNY,204930006,5.913661,#N/A Field Not Applicable,1.663366947,100.1409,16.90999873
Corporates,Daifuku Co Ltd,DAIFKU,0,14/09/2028,JPY,203757300,2826.455625,#N/A Field Not Applicable,-1.439704321,100.7765,3538
Corporates,Daifuku Co Ltd,DAIFKU,0,13/09/2030,JPY,203757300,2881.014117,#N/A Field Not Applicable,-1.131829035,98.1255,3471
Preferreds,Doral Financial Corp,DRLC,4.75,#N/A Field Not Applicable,USD,203381500,0.015714999,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,15908.36852
Corporates,Weimob Investment Ltd,WEIMOB,0,07/06/2026,USD,203217000,369.7142857,#N/A Field Not Applicable,3.348654075,101.0078125,21
Corporates,Ningbo Jintian Copper Group Co Ltd,NBJTCP,0.2,28/07/2029,CNY,202869500,14.81481482,#N/A Field Not Applicable,-0.790123242,100.5429,6.75
Corporates,8x8 Inc,EGHT,4,01/02/2028,USD,201914000,139.8064,83.82688904,8.786277798,102.2304688,7.152748372
Corporates,Senko Group Holdings Co Ltd,SENKO,0,18/03/2025,JPY,201850660,8369.601607,#N/A Field Not Applicable,-3.048231753,100.0635,1194.8
Corporates,CIP Funding Pty Ltd,CIPFAU,3.95,02/03/2028,AUD,201372000,24024.024,#N/A Field Not Applicable,4.900415196,93.6395,4.162500004
Corporates,MGP Ingredients Inc,MGPI,1.875,15/11/2041,USD,201250000,10.3911,115,0.823695353,100.9335938,96.23620213
Corporates,NeoGenomics Inc,NEO,1.25,01/05/2025,USD,201250000,27.5198,97.75,2.133087452,101.0078125,36.33747338
Corporates,Chacha Food Co Ltd,CHACFD,1.5,20/10/2026,CNY,200677142.1,1.718804,#N/A Field Not Applicable,1.900298658,100.1409,58.17999027
Corporates,Idorsia Ltd,IDIASW,0.75,17/07/2024,CHF,200030000,5891.0162,#N/A Field Not Applicable,150.1029878,99.611,33.95
Preferreds,Bowlero Corp,BOWL,5.5,#N/A Field Not Applicable,USD,200000000,76.9231,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,12.9999961
Corporates,Vertical Aerospace Ltd,VRTARO,7,15/12/2026,USD,200000000,90.9091,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,10.9999989
Corporates,PureCycle Technologies Inc,PCT,7.25,15/08/2030,USD,200000000,67.4764,37.83760071,28.69889008,102.2304688,14.81999632
Corporates,Helix Energy Solutions Group Inc,HLX,6.75,15/02/2026,USD,200000000,143.3795,162,-16.80032223,100.9335938,6.974497749
Corporates,Gossamer Bio Inc,GOSS,5,01/06/2027,USD,200000000,61.6095,37.45600128,40.09350426,102.2304688,16.23126304
Corporates,HAT Holdings I LLC / HAT Holdings II LLC,HASI,0,01/05/2025,USD,200000000,17.714,100.75,6.872333319,101.0078125,56.45252343
Corporates,Varex Imaging Corp,VREX,4,01/06/2025,USD,200000000,48.048,117.4224014,-8.011006972,101.0078125,20.81252081
Corporates,Maxeon Solar Technologies Ltd,MAXN,6.5,15/07/2025,USD,200000000,54.9611,71.34249878,24.37276949,101.0078125,18.19468679
Corporates,Ironwood Pharmaceuticals Inc,IRWD,0.75,15/06/2024,USD,200000000,74.6687,105.625,-7.777862358,101.0078125,13.39249244
Corporates,Asahi Refining USA Inc,ASAHUS,0,16/03/2026,USD,200000000,4657.661854,#N/A Field Not Applicable,6.797891275,100.9335938,2273.4583
Corporates,Camtek Ltd/Israel,CAMT,0,01/12/2026,USD,200000000,17.1092,122.6371994,-8.364653011,100.9335938,58.44808641
Corporates,Ironwood Pharmaceuticals Inc,IRWD,1.5,15/06/2026,USD,200000000,74.6687,106.5635986,-1.117096038,100.9335938,13.39249244
Corporates,BigBear.ai Holdings Inc,BBAI,6,15/12/2026,USD,200000000,94.223,68,19.1560113,100.9335938,10.61311994
Corporates,Nova Ltd,NVMI,0,15/10/2025,USD,200000000,13.4048,170.5,-25.09696492,101.0078125,74.60014323
Corporates,Infinera Corp,INFN,2.5,01/03/2027,USD,200000000,130.5995,92,5.284511292,102.2304688,7.656997155
Corporates,Kaleyra Inc,KLR,6.125,01/06/2026,USD,200000000,#N/A Field Not Applicable,99.83499908,6.156384729,100.9335938,#N/A Field Not Applicable
Corporates,Kaman Corp,KAMN,3.25,01/05/2024,USD,199500000,15.3227,98.125,7.860425159,101.0078125,65.26264953
Preferreds,Pegasus Cos Inc/The,PEGX,6.5,#N/A Field Not Applicable,USD,199114700,0.0031,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,32258.06452
Preferreds,Pegasus Cos Inc/The,PEGX,6.5,#N/A Field Not Applicable,USD,199114700,0.0031,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,32258.06452
Corporates,Lu Thai Textile Co Ltd,LTTEXT,1.5,09/04/2026,CNY,198760416.8,11.587486,#N/A Field Not Applicable,2.248261194,99.9233,8.629999639
Corporates,Dye & Durham Ltd,DNDCN,3.75,01/03/2026,CAD,198235000,13.6565,#N/A Field Not Applicable,17.02236517,100.9135,73.22520412
Corporates,iRay Technology Co Ltd,IRAYTE,0.4,24/10/2028,CNY,197573097.9,0.435123,#N/A Field Not Applicable,-2.578131963,100.65125,229.8200739
Corporates,Plug Power Inc,PLUG,3.75,01/06/2025,USD,197278000,198.6196,106.4989014,0.701781142,101.0078125,5.034749843
Corporates,Sichuan EM Technology Co Ltd,SICEMT,0.5,16/11/2028,CNY,197225933.3,8.583691,#N/A Field Not Applicable,-1.181664901,100.65125,11.64999998
Corporates,Herbalife Ltd,HLF,2.625,15/03/2024,USD,197000000,16.0467,98.44999695,4.342087187,101.0078125,62.31810902
Corporates,Liberty Media Corp,LMCA,0.5,01/12/2050,USD,196535000,11.0983,109.5,0.139022378,101.0078125,90.10388978
Corporates,Brait PLC,BATSJ,6.5,04/12/2024,GBP,196369500,191607.5938,#N/A Field Not Applicable,16.46046158,98.648,9.927999004
Corporates,Yantai Zhenghai Magnetic Material Co Ltd,YTZHMM,0.4,23/11/2028,CNY,195466542.6,7.674597,#N/A Field Not Applicable,0.495861807,100.65125,13.03000014
Corporates,Sacyr SA,SCYRSM,3.75,25/04/2024,EUR,194890500,42711.3142,#N/A Field Not Applicable,-9565.587911,99.804,2.341300001
Preferreds,City Developments Ltd,CITSP,0,#N/A Field Not Applicable,SGD,194752256.8,0.136,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A,7.352941176
Corporates,Wangneng Environment Co Ltd,WNENVI,1.5,17/12/2026,CNY,194403236.6,6.680027,#N/A Field Not Applicable,-1.923515993,100.1409,14.96999937
Corporates,AZ-COM MARUWA Holdings Inc,MAUNKI,0,17/12/2025,JPY,194017400,3773.869726,#N/A Field Not Applicable,0.493654384,99.926,2649.8
Corporates,BW Offshore Ltd,BWONO,2.5,12/11/2024,USD,192600000,27349.67933,#N/A Field Not Applicable,8.441533918,101.0078125,67.21906967
Corporates,Innoviva Inc,INVA,2.5,15/08/2025,USD,192500000,57.924,104.107399,-2.835679642,101.0078125,17.2640011
Corporates,Xinjiang Joinworld Co Ltd,XINJOI,0.2,18/07/2029,CNY,191349125,12.195122,#N/A Field Not Applicable,0.374765225,100.5429,8.199999967
Corporates,Autel Intelligent Technology Corp Ltd,AUTELT,0.5,08/07/2028,CNY,191184614.4,2.881014,#N/A Field Not Applicable,2.067092341,100.65125,34.71000141
Corporates,Q2 Holdings Inc,QTWO,0.125,15/11/2025,USD,191000000,7.1355,89.54000092,6.087346627,101.0078125,140.1443487
Corporates,BE Semiconductor Industries NV,BESINA,1.875,06/04/2029,EUR,190893500,865.8008658,#N/A Field Not Applicable,-4.155935489,101.177,115.5
Corporates,Webjet Ltd,WEBAU,0.75,12/04/2026,AUD,190647500,31496.06299,#N/A Field Not Applicable,-7.653700104,91.8565,6.35
Corporates,Neoen SA,NEOEN,2,02/06/2025,EUR,189957964.9,1.17,#N/A Field Not Applicable,2.984724132,97.053,39.48717949
Corporates,Brait Investment Holdings Ltd,BATSJ,5,03/12/2024,ZAR,189840719.7,228.8329519,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,4.370000001
Corporates,Nevro Corp,NVRO,2.75,01/04/2025,USD,189750000,9.5238,94.875,8.701235167,101.0078125,105.000105
Corporates,HelloFresh SE,HFGGR,0.75,13/05/2025,EUR,189386750,1969.8999,#N/A Field Not Applicable,4.604943294,97.053,50.76400075
Corporates,Jiangsu Suzhou Rural Commercial Bank Co Ltd,WJRUBA,2,02/08/2024,CNY,188313692.4,19.84127,#N/A Field Not Applicable,2.949120381,98.8908,5.03999996
Corporates,PHP Finance Jersey NO 2 Ltd,PHPLN,2.875,15/07/2025,GBP,187683000,759.186152,#N/A Field Not Applicable,4.403868764,95.1765,1.317200001
Corporates,CyberAgent Inc,CYBAG,0,19/02/2025,JPY,187678000,6390.593047,#N/A Field Not Applicable,1.521670276,100.0635,1564.8
Corporates,Digital China Group Co Ltd,DIGICN,0.3,21/12/2029,CNY,187593759.9,3.075976623,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,32.51
Corporates,Jiangsu Jiejie Microelectronics Co Ltd,JSJJDZ,1,08/06/2027,CNY,186607386.2,3.474635,#N/A Field Not Applicable,2.566166679,100.0358,28.78000135
Corporates,CAPITAL A BHD,AAGBMK,8,29/12/2028,MYR,186428731,1,#N/A Field Not Applicable,4.626,101.1,0.75
Corporates,Fujian Funeng Co Ltd,FUNENG,2,07/12/2024,CNY,185635239.1,17.953321,#N/A Field Not Applicable,-30.25465409,99.9233,5.570000113
Corporates,GA Sim Investment I BV,RUBINR,5,29/03/2024,EUR,184592030,31700,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,3.154574132
Corporates,Wuhan Jingce Electronic Group Co Ltd,WHJCEG,0.2,02/03/2029,CNY,184489802,1.549427,#N/A Field Not Applicable,-5.448211791,100.5429,64.53998801
Corporates,Ennoconn Corp,ENNO,0,26/02/2024,TWD,183111447.5,489.236791,#N/A Field Not Applicable,-78.46011304,99.98499637,204.3999998
Corporates,Zhejiang Huakang Pharmaceutical Co Ltd,ZJHKPA,0.2,25/12/2029,CNY,182630400.7,4.413062665,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,22.66
Corporates,Aker Horizons ASA,AKHNO,1.5,05/02/2026,NOK,182478115.6,0.022857,#N/A Field Not Applicable,11.18283014,95.6015,43.75027344
Corporates,ZUR Rose Finance BV,DOCMSW,2.75,31/03/2025,CHF,181182750,35.11374043,#N/A Field Not Applicable,5.068023395,100.6265,142.3944
Corporates,GMO Payment Gateway Inc,GMOGTW,0,22/06/2026,JPY,180663600,551.58415,#N/A Field Not Applicable,0.895905994,100.1275,18129.59999
Corporates,Monalisa Group Co Ltd,MNLSGC,1,16/08/2027,CNY,180527769.9,3.763643,#N/A Field Not Applicable,3.87918498,100.0358,26.57000146
Corporates,Chongqing Construction Engineering Group Corp Ltd,CHQECG,3.2,20/12/2025,CNY,180510065.6,22.371365,#N/A Field Not Applicable,2.889380961,99.9233,4.469999931
Corporates,Luye Pharma Group Ltd,LUYEPA,6.25,06/07/2028,USD,180000000,1604.405738,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,4.88
Corporates,Yageo Corp,YAGEO,0,26/05/2025,USD,180000000,5960.328208,#N/A Field Not Applicable,-12.07338415,101.0078125,502.12
Corporates,Evergreen Marine Corp Taiwan Ltd,EVRGTT,0,18/05/2026,TWD,179077918.4,963.762529,#N/A Field Not Applicable,-12.39955952,99.98499637,103.76
Corporates,PharmaBlock Sciences Nanjing Inc,PBSCNJ,0.5,20/04/2028,CNY,179056559.6,1.227898,#N/A Field Not Applicable,1.619957161,100.65125,81.43998932
Corporates,BE Semiconductor Industries NV,BESINA,0.75,05/08/2027,EUR,178098000,2042.930134,#N/A Field Not Applicable,-26.3168375,102.2025,48.9493
Corporates,Shenzhen Zhongzhuang Construction Group Co Ltd,SZZZCG,1,16/04/2027,CNY,177771835.8,19.455253,#N/A Field Not Applicable,4.322464469,100.1409,5.139999978
Corporates,Kobe Steel Ltd,KOBSTL,0,14/12/2028,JPY,176552500,4071.661238,#N/A Field Not Applicable,-0.80410287,100.7765,2456
Corporates,Kobe Steel Ltd,KOBSTL,0,13/12/2030,JPY,176552500,4256.224729,#N/A Field Not Applicable,-0.553391653,98.1255,2349.5
Corporates,Duerr AG,DUEGR,0.75,15/01/2026,EUR,176172000,3082.528537,#N/A Field Not Applicable,4.79318303,101.2755,32.44089999
Corporates,BICO Group AB,BICOSS,2.875,19/03/2026,SEK,175743000,3341.687552,#N/A Field Not Applicable,18.7166647,99.4825,598.5
Corporates,Novavax Inc,NVAX,5,15/12/2027,USD,175250000,80,60.25,19.97609528,102.2304688,12.5
Corporates,Norwegian Air Shuttle ASA,NASNO,#N/A N/A,#N/A Field Not Applicable,NOK,175006254.1,0.106496272,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A,9.390000056
Preferreds,Bright Health Group Inc,BHG,5,#N/A Field Not Applicable,USD,175000000,1.4169,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,705.7661091
Corporates,Nikola Corp,NKLA,8.25,15/12/2026,USD,175000000,1111.1111,129.7221985,-1.507938407,100.9335938,0.900000009
Corporates,Bandwidth Inc,BAND,0.25,01/03/2026,USD,175000000,10.9857,83,8.98433317,100.9335938,91.02742656
Preferreds,Spire Inc,SR,7.5,01/03/2024,USD,175000000,0.6354,#N/A Field Not Applicable,23.73721228,5.25875,78.69058861
Corporates,Kite Realty Group LP,KRG,0.75,01/04/2027,USD,175000000,40.397,95.25550079,1.408975335,102.2304688,24.75431344
Corporates,Taishin Financial Holding Co Ltd,TAISHI,0,01/04/2025,TWD,174369500,5434.782609,#N/A Field Not Applicable,-2.44437588,99.98499637,18.4
Corporates,Xizi Clean Energy Equipment Manufacturing Co Ltd,HZHBIL,1,24/12/2027,CNY,174312558.2,5.347594,#N/A Field Not Applicable,0.538515725,100.0358,18.69999854
Corporates,Shanghai Bairun Investment Holding Group Co Ltd,SHBRIH,1,29/09/2027,CNY,174253276.9,2.129925,#N/A Field Not Applicable,1.453309239,100.0358,46.95000998
Corporates,Win Semiconductors Corp,WINSEM,0,14/01/2026,USD,174000000,12243.34434,#N/A Field Not Applicable,-0.014603698,100.9335938,457.13
Corporates,Ferrotec Holdings Corp,FERTEC,0,23/06/2028,JPY,173770500,2527.741968,#N/A Field Not Applicable,-0.809856576,100.7765,3956.1
Corporates,Jiangxi Jovo Energy Co Ltd,JXJOVO,2.5,10/03/2029,CNY,173592000,4.05515,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,24.66000025
Corporates,Zhejiang Garden Biopharmaceutical Co Ltd,GDNBIO,0.3,06/03/2029,CNY,173117093.7,6.644518,#N/A Field Not Applicable,1.366751218,100.5429,15.05000062
Corporates,Jishi Media Co Ltd,JSMEDA,1.8,27/12/2023,CNY,173094459,47.393365,#N/A Field Not Applicable,21.20148852,99.453,2.109999997
Preferreds,ATP Oil & Gas Corp/United States,ATPG,8,#N/A Field Not Applicable,USD,172500000,4.5045,#N/A Field Not Applicable,#N/A N/A,5.26,22.2000222
Corporates,Evolent Health Inc,EVH,1.5,15/10/2025,USD,172500000,29.9135,110.375,-5.080252078,101.0078125,33.42972237
Corporates,RealReal Inc/The,REAL,3,15/06/2025,USD,172500000,56.2635,74.34999847,24.78678335,101.0078125,17.77351213
Corporates,HCI Group Inc,HCI,4.75,01/06/2042,USD,172500000,12.4166,121,3.251710078,102.2304688,80.53734517
Corporates,Equinox Gold Corp,EQXCN,4.75,15/10/2028,USD,172500000,158.7302,107.5500031,3.055162212,102.2304688,6.299998362
Corporates,Tilray Brands Inc,TLRY,5.2,15/06/2027,USD,172500000,376.6478,102.9509964,3.011068873,102.2304688,2.655000242
Corporates,Karyopharm Therapeutics Inc,KPTI,3,15/10/2025,USD,172500000,63.0731,50.5,46.14577116,101.0078125,15.85461948
Corporates,Enovix Corp,ENVX,3,01/05/2028,USD,172500000,64.08,95.76979828,0.689761659,102.2304688,15.60549313
Corporates,Mesa Laboratories Inc,MLAB,1.375,15/08/2025,USD,172500000,3.5273,92,6.579475211,101.0078125,283.5029626
Corporates,Washington H Soul Pattinson & Co Ltd,SOULAU,0.625,29/01/2026,AUD,171972000,5810.760948,#N/A Field Not Applicable,0.147789525,93.6395,34.4189
Corporates,Paradise Co Ltd,PARADI,0,12/08/2026,KRW,171799200,0.59456567,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,16818.99999
Corporates,MBT Systems GmbH,MBTNSW,3.5,08/07/2027,EUR,171745250,192307.6923,#N/A Field Not Applicable,12.39768821,94.2995,0.57048836
Corporates,Shanghai CDXJ Digital Technology Co Ltd,CDXJTC,1.5,28/07/2026,CNY,171194938.5,4.122011662,#N/A Field Not Applicable,5.496257748,100.1409,24.25999929
Corporates,Neurocrine Biosciences Inc,NBIX,2.25,15/05/2024,USD,170362000,13.1711,171.3045959,-107.1083063,101.0078125,75.92380287
Corporates,Shenzhen Megmeet Electrical Co Ltd,MEGELC,0.5,13/10/2028,CNY,170157161.5,3.232062,#N/A Field Not Applicable,1.485984305,100.65125,30.94000053
Corporates,Permian Resources Operating LLC,PR,3.25,01/04/2028,USD,170000000,163.6986,217,-16.67591506,102.2304688,6.108787736
Corporates,Sangfor Technologies Inc,SANGFO,0.3,27/07/2029,CNY,169514340.8,0.89493467,#N/A Field Not Applicable,0.639286602,100.5429,111.74
Corporates,Hangzhou Oxygen Plant Group Co Ltd,HZHNYG,0.4,19/05/2028,CNY,169346576,3.612717,#N/A Field Not Applicable,-2.853031331,100.65125,27.67999818
Corporates,ZeroFox Holdings Inc,ZFOX,7,03/08/2025,USD,168799372.2,86.9565,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,11.50000288
Corporates,Luoyang Xinqianglian Slewing Bearing Co Ltd,LYXQLB,0.5,11/10/2028,CNY,168784820.9,2.477701,#N/A Field Not Applicable,0.723657363,100.65125,40.35999501
Corporates,VK IPJSC,VKCOLI,1.625,01/10/2025,USD,168000000,5012.5313,#N/A Field Not Applicable,47.79623574,101.0078125,39.90000023
Corporates,Shenzhen Kinwong Electronic Co Ltd,KINELC,0.3,04/04/2029,CNY,167748902,3.96668,#N/A Field Not Applicable,-0.680831556,100.5429,25.20999929
Corporates,Beijing Strong Biotechnologies Inc,BJBSBE,0.5,30/06/2028,CNY,167336654.1,5.698006,#N/A Field Not Applicable,-2.682754781,100.65125,17.54999907
Corporates,BPER Banca,BPEIM,8.75,#N/A Field Not Applicable,EUR,167004000,59523.80952,#N/A Field Not Applicable,9.829646967,102.2025,4.2
Corporates,KingClean Electric Co Ltd,KICLEL,0.5,14/10/2028,CNY,166838992.6,3.011141,#N/A Field Not Applicable,1.57200297,100.65125,33.21000245
Corporates,Jiangsu Asia-Pacific Light Alloy Technology Co Ltd,APLATC,0.3,09/03/2029,CNY,166386445.9,16.50165,#N/A Field Not Applicable,-1.513676192,100.5429,6.060000061
Corporates,NIO Inc,NIO,4.5,01/02/2024,USD,163651000,105.1359,103.2740021,-28.70234955,101.0078125,9.511498927
Corporates,Ecovacs Robotics Co Ltd,ECORBT,1,30/11/2027,CNY,163362885.8,0.570093,#N/A Field Not Applicable,2.956290464,100.0358,175.409977
Corporates,Ningbo Zhenyu Technology Co Ltd,NBZYTC,0.2,20/10/2029,CNY,163356500,1.62416761,#N/A Field Not Applicable,1.230783242,100.5429,61.57000016
Corporates,Shin Kong Financial Holding Co Ltd,SHIKON,0,12/05/2028,TWD,162530242.6,10799.13607,#N/A Field Not Applicable,-0.607060653,99.9530247,9.26
Corporates,RWT Holdings Inc,RWT,5.75,01/10/2025,USD,162092000,55.26440048,96.25,8.749475737,101.0078125,18.09483123
Corporates,Inseego Corp,INSG,3.25,01/05/2025,USD,161898000,79.2896,29.64999962,84.47900096,101.0078125,12.61199451
Corporates,RingCentral Inc,RNG,0,01/03/2025,USD,161326000,2.7745,92.52500153,5.795508292,101.0078125,360.4253019
Corporates,Guizhou Chanhen Chemical Corp,GZCHCH,1,12/08/2027,CNY,161150490.5,5.005005,#N/A Field Not Applicable,0.721814363,100.0358,19.98000002
Corporates,Walsin Technology Corp,WALSIN,0,29/04/2024,TWD,160479039.9,475.737393,#N/A Field Not Applicable,-1.243975194,99.98499637,210.2
Corporates,Jiangsu Xinquan Automotive Trim Co Ltd,JSXINQ,0.3,11/08/2029,CNY,160249360,1.947419669,#N/A Field Not Applicable,-0.480460051,100.5429,51.35
Corporates,indie Semiconductor Inc,INDI,4.5,15/11/2027,USD,160000000,115.5869,122.3282013,-1.110373512,102.2304688,8.651499435
Corporates,s Wohnbaubank AG,SWOHN,3.3,21/03/2034,EUR,159837000,10,#N/A Field Not Applicable,#N/A N/A,105.403,10
Corporates,Nabors Industries Inc,NBR,0.75,15/01/2024,USD,159328000,0.801800013,99.5,13.13678299,101.0078125,1247.193794
Corporates,Gloria Material Technology Corp,GLHEIN,0,31/07/2026,TWD,158955500,1689.189189,#N/A Field Not Applicable,-2.635388444,99.98499637,59.2
Corporates,Wuxi Autowell Technology Co Ltd,WXAWTC,0.2,10/08/2029,CNY,157925340,0.802246,#N/A Field Not Applicable,1.035507732,100.5429,124.650045
Corporates,Raiffeisen Wohnbaubank AG,RFWOHN,4,13/04/2034,EUR,157635000,10,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,10
Corporates,Guangdong Sirio Pharma Co Ltd,SIRIOP,1,19/04/2027,CNY,157418202.4,1.783485,#N/A Field Not Applicable,0.23164787,100.0358,56.06999779
Corporates,Seven Group Holdings Ltd,SVWAU,4.625,18/10/2027,AUD,157315000,26525.19894,#N/A Field Not Applicable,-7.327804267,96.713,3.77
Corporates,Asia Standard Hotel Group Ltd,ASIASH,0,16/02/2047,HKD,157229054.9,1,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,0.453
Corporates,Yongjin Technology Group Co Ltd,YJMETA,0.8,13/12/2027,CNY,156987495.5,3.615329,#N/A Field Not Applicable,1.66553281,100.0358,27.65999996
Corporates,Yantai Eddie Precision Machinery Co Ltd,YTEDDI,0.5,15/04/2028,CNY,156943192.9,4.2123,#N/A Field Not Applicable,2.304083663,100.65125,23.73999953
Corporates,State Power Investment Corp Ltd,POWINV,0.3,22/11/2024,CNY,156613000,18.18181818,#N/A Field Not Applicable,-3.594863845,100.09345,5.5
Corporates,Prospect Capital Corp,PSEC,6.375,01/03/2025,USD,156168000,110.742,100.5,6.40629743,101.0078125,9.029997652
Corporates,Shanghai QiFan Cable Co Ltd,SHQFCC,1,24/05/2027,CNY,155665501.7,5.063291,#N/A Field Not Applicable,0.018901271,100.0358,19.75000054
Corporates,Mitek Systems Inc,MITK,0.75,01/02/2026,USD,155250000,47.9731,90.5,5.258353713,100.9335938,20.84501523
Corporates,Toho Holdings Co Ltd,TOHPHA,0,16/06/2028,JPY,155087900,3576.537911,#N/A Field Not Applicable,-4.047254064,100.7765,2796
Corporates,Jiangxi Jovo Energy Co Ltd,JXJOVO,0.01,29/12/2028,CNY,155076812.3,4.498426,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,22.22999778
Corporates,OSG Corp,OSGMFG,0,20/12/2030,JPY,154636680,4770.992366,#N/A Field Not Applicable,-1.026394793,98.1255,2096
Corporates,Olympic Circuit Technology Co Ltd,OLYMCB,1,20/01/2027,CNY,154608950.9,5.34188,#N/A Field Not Applicable,-1.580685357,100.1409,18.7200012
Corporates,Jafron Biomedical Co Ltd,JAFRON,1,23/06/2027,CNY,154433290.9,1.62022,#N/A Field Not Applicable,1.928526773,100.0358,61.72001333
Corporates,Shenzhen Highpower Technology Co Ltd,SZHPWR,0.3,22/12/2029,CNY,154174900,1.974333662,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,50.65000001
Corporates,Kuka Home Group Co Ltd,KUKAGP,2.5,18/03/2024,CNY,153690000,1.160092807,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,86.20000003
Corporates,Shanghai Electric Holding Group Co Ltd,SECGRP,0.01,23/03/2024,CNY,153459000,17.69911504,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,5.65
Corporates,Burlington Stores Inc,BURL,2.25,15/04/2025,USD,153382000,4.5418,106.25,-3.631880765,101.0078125,220.1770223
Preferreds,Invacare Holdings Corp,IVCHLD,9,#N/A Field Not Applicable,USD,153283025,14.5284,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,1.7207676
